title,authors,year,doi,url,publisher,type,reference_count,is_referenced_by_count
Study on Classification and Ecological Characteristics of Halophyte in Tidal Flat Using Remote Sensing Technique: Application to Marine Spatial Planning,"Minchol Chang, Yun Soo Choi, Junsung Noh, Sunghak Kim",2019,10.7846/jkosmee.2019.22.1.34,https://doi.org/10.7846/jkosmee.2019.22.1.34,The Korean Society for Marine Environment and Energy,journal-article,31,3
,,2022,10.54499/expl/asp-agr/1655/2021,https://doi.org/10.54499/expl/asp-agr/1655/2021,Fundacao para a Ciencia e a Tecnologia (unidadeFCCN),grant,0,0
"Genome-Wide Identification and Analysis of the Phosphoenolpyruvate Carboxylase Gene Family in Suaeda aralocaspica, an Annual Halophyte With Single-Cellular C4 Anatomy","Jing Cao, Gang Cheng, Lu Wang, Tayier Maimaitijiang, Haiyan Lan",2021,10.3389/fpls.2021.665279,https://doi.org/10.3389/fpls.2021.665279,Frontiers Media SA,journal-article,87,16
"Haloferula luteola sp. nov., an endophytic bacterium isolated from the root of a halophyte, Rosa rugosa, and emended description of the genus Haloferula","Fehmida Bibi, Eu Jin Chung, Hwan Sik Yoon, Geun Cheol Song, Che Ok Jeon, Young Ryun Chung",2011,10.1099/ijs.0.022772-0,https://doi.org/10.1099/ijs.0.022772-0,Microbiology Society,journal-article,27,19
"The complete chloroplast genome of a halophyte glasswort
            <i>Salicornia europaea</i>","Tianlong Liu, Zhicong Zuo, Yingying He, Jinlai Miao, Jia Yu, Changfeng Qu",2023,10.1080/23802359.2023.2275833,https://doi.org/10.1080/23802359.2023.2275833,Informa UK Limited,journal-article,19,3
Genome-wide DNA methylation analysis and biochemical responses provide insights into the initial domestication of halophyte Puccinellia tenuiflora,"Luhao Li, Huiying Lu, Huan Wang, Nadeem Bhanbhro, Chunwu Yang",2021,10.1007/s00299-021-02701-9,https://doi.org/10.1007/s00299-021-02701-9,Springer Science and Business Media LLC,journal-article,53,4
"Co-production of biochar, bio-oil and syngas from halophyte grass (Achnatherum splendens L.) under three different pyrolysis temperatures","Muhammad Irfan, Qun Chen, Yan Yue, Renzhong Pang, Qimei Lin, Xiaorong Zhao, Hao Chen",2016,10.1016/j.biortech.2016.03.077,https://doi.org/10.1016/j.biortech.2016.03.077,Elsevier BV,journal-article,36,119
Soil physicochemical properties associated with the yield and phytochemical composition of the edible halophyte Crithmum maritimum,"Raquel Martins-Noguerol, Luis Matías, Ignacio M. Pérez-Ramos, Xoaquín Moreira, Marta Francisco, Justo Pedroche, Cristina DeAndrés-Gil, Eduardo Gutiérrez, Joaquín J. Salas, Antonio J. Moreno-Pérez, Anthony J. Davy, Sara Muñoz-Vallés, Manuel Enrique Figueroa, Jesús Cambrollé",2023,10.1016/j.scitotenv.2023.161806,https://doi.org/10.1016/j.scitotenv.2023.161806,Elsevier BV,journal-article,83,30
Antiobesity Effects of an Edible Halophyte<i>Nitraria retusa</i>Forssk in 3T3-L1 Preadipocyte Differentiation and in C57B6J/L Mice Fed a High Fat Diet-Induced Obesity,"Feten Zar Kalai, Junkyu Han, Riadh Ksouri, Abdelfatteh El Omri, Chedly Abdelly, Hiroko Isoda",2013,10.1155/2013/368658,https://doi.org/10.1155/2013/368658,Hindawi Limited,journal-article,44,20
Halophyte die-off in response to anthropogenic impacts on tidal flats,"Yoon-Kyung Lee, Wook Park, Jong-Kuk Choi, Joo-Hyung Ryu, Joong-Sun Won",2014,10.1016/j.ecss.2014.09.009,https://doi.org/10.1016/j.ecss.2014.09.009,Elsevier BV,journal-article,40,9
Development of a toxicophenomic index for trace element ecotoxicity tests using the halophyte Juncus acutus: Juncus-TOX,"Bernardo Duarte, Lorenzo Durante, João Carlos Marques, Patrick Reis-Santos, Vanessa F. Fonseca, Isabel Caçador",2021,10.1016/j.ecolind.2020.107097,https://doi.org/10.1016/j.ecolind.2020.107097,Elsevier BV,journal-article,35,18
Feasibility of growing halophyte “agretti” (Salsola soda) as an alternative boron-tolerant food crop in unproductive boron-laden regions,"Hui Zhu, Rui Cheng, Gary Bañuelos, Tiziana Centofanti",2019,10.1007/s11104-019-04280-x,https://doi.org/10.1007/s11104-019-04280-x,Springer Science and Business Media LLC,journal-article,38,5
Role of leaf micro-structural modifications in modulation of growth and photosynthetic performance of aquatic halophyte Fimbristylis complanata (Retz.) under temporal salinity regimes,"Muhammad Kaleem, Mansoor Hameed, Muhammad Sajid Aqeel Ahmad, Farooq Ahmad, Ummar Iqbal, Naila Asghar, Amina Ameer, Anam Mehmood, Nimra Shehzadi, Muhammad Shahbaz Chishti, Abeer Hashem, Elsayed Fathi Abd-Allah",2024,10.1038/s41598-024-77589-y,https://doi.org/10.1038/s41598-024-77589-y,Springer Science and Business Media LLC,journal-article,76,16
Culturomics and Circular Agronomy: Two Sides of the Same Coin for the Design of a Tailored Biofertilizer for the Semi-Halophyte Mesembryanthemum crystallinum,"Eloísa Pajuelo, Noris J. Flores-Duarte, Salvadora Navarro-Torre, Ignacio D. Rodríguez-Llorente, Enrique Mateos-Naranjo, Susana Redondo-Gómez, José A. Carrasco López",2023,10.3390/plants12132545,https://doi.org/10.3390/plants12132545,MDPI AG,journal-article,79,8
Molecular Cloning and Bioinformatics Analysis of a New Plasma Membrane Na<sup><b>+</b></sup>/H<sup><b>+</b></sup>Antiporter Gene from the Halophyte<i>Kosteletzkya virginica</i>,"Hongyan Wang, Xiaoli Tang, Chuyang Shao, Hongbo Shao, Honglei Wang",2014,10.1155/2014/141675,https://doi.org/10.1155/2014/141675,Wiley,journal-article,30,4
"Germination responses of the halophyte <i>Chloris virgata</i> to temperature and reduced water potential caused by salinity, alkalinity and drought stress","J. Lin, S. Shao, Y. Wang, M. Qi, L. Lin, Y. Wang, X. Yan",2015,10.1111/gfs.12218,https://doi.org/10.1111/gfs.12218,Wiley,journal-article,33,23
"Regulation of chromium translocation to shoot and physiological, metabolomic, and ionomic adjustments confer chromium stress tolerance in the halophyte Suaeda maritima","Dhara Fatnani, Monika Patel, Asish Kumar Parida",2023,10.1016/j.envpol.2023.121046,https://doi.org/10.1016/j.envpol.2023.121046,Elsevier BV,journal-article,99,26
Beneficial Microorganisms: Sulfur-Oxidizing Bacteria Modulate Salt and Drought Stress Responses in the Halophyte Plantago coronopus L.,"Aleksandra Koźmińska, Mohamad Al Hassan, Wiktor Halecki, Cezary Kruszyna, Ewa Hanus-Fajerska",2024,10.3390/su162410866,https://doi.org/10.3390/su162410866,MDPI AG,journal-article,74,3
Effect by Plant Growth Promoting Bacteria (Azospirillum halopraeferens and Klebsiella pneumoniae) on Lipid Value in Seed of the Halophyte Salicornia bigelovii Torr.,"José Luis Garcia Hernández, Luis Guillermo Hernández-Montiel, Ramón Zulueta-Rodríguez, Miguel V. Cordoba-Matson, Jesús Ortega-García, Bernardo Murillo-Amador, Jesus López Elías, Marco A. Huez Lopez, José Jiménez León, Oscar Bianciotto, Edgar Omar Rueda Puente",2016,10.1007/978-3-319-27093-7_22,https://doi.org/10.1007/978-3-319-27093-7_22,Springer International Publishing,book-chapter,20,0
Emerging crosstalk between two signaling pathways coordinates K+ and Na+ homeostasis in the halophyte Hordeum brevisubulatum,"Haiwen Zhang, Hao Feng, Junwen Zhang, Rongchao Ge, Liyuan Zhang, Yunxiao Wang, Legong Li, Jianhua Wei, Ruifen Li",2020,10.1093/jxb/eraa191,https://doi.org/10.1093/jxb/eraa191,Oxford University Press (OUP),journal-article,85,31
Assessing the role of endophytic bacteria in the halophyte <i>Arthrocnemum macrostachyum</i> salt tolerance,"S. Navarro‐Torre, J. M. Barcia‐Piedras, E. Mateos‐Naranjo, S. Redondo‐Gómez, M. Camacho, M. A. Caviedes, E. Pajuelo, I. D. Rodríguez‐Llorente",2016,10.1111/plb.12521,https://doi.org/10.1111/plb.12521,Wiley,journal-article,52,81
Genetic Diversity of Culturable Endophytic Fungi Isolated from Halophytes Naturally Growing in Muan Salt Marsh,"Young-Hyun You, Hyeok-Jun Yoon, Yeong-Gyo Seo, Mi-Ae Kim, Myung-Suk Kang, Chang-Mu Kim, Sang-Chul Ha, Ga-Youn Cho, Jong-Guk Kim",2012,10.5352/jls.2012.22.7.970,https://doi.org/10.5352/jls.2012.22.7.970,Korean Society of Life Science,journal-article,21,7
Effective Agrobacterium-mediated transformation protocols for callus and roots of halophyte ice plant (Mesembryanthemum crystallinum),"Hau-Hsuan Hwang, Chih-Hao Wang, Hsiao-Huei Chen, Jia-Fang Ho, Shin-Fei Chi, Fan-Chen Huang, Hungchen Emilie Yen",2019,10.1186/s40529-018-0249-3,https://doi.org/10.1186/s40529-018-0249-3,Springer Science and Business Media LLC,journal-article,50,27
Overexpression of NtSOS2 From Halophyte Plant N. tangutorum Enhances Tolerance to Salt Stress in Arabidopsis,"Liming Zhu, Mengjuan Li, Junnan Huo, Ziming Lian, Yuxin Liu, Lu Lu, Ye Lu, Zhaodong Hao, Jisen Shi, Tielong Cheng, Jinhui Chen",2021,10.3389/fpls.2021.716855,https://doi.org/10.3389/fpls.2021.716855,Frontiers Media SA,journal-article,54,8
"Erratum to: Hahyoungchilella caricis gen. nov., sp. nov., isolated from a rhizosphere mudflat of a halophyte (Carex scabrifolia), transfer of Thioclava arenosa Thongphrom et al. 2017 to Pseudothioclava as Pseudothioclava arenosa gen. nov., comb. nov. and proposal of Thioclava electrotropha Chang et al. 2018 as a later heterosynonym of Thioclava sediminum","Young-Ju Kim, Soon Dong Lee",2020,10.1007/s12275-020-9725-z,https://doi.org/10.1007/s12275-020-9725-z,The Microbiological Society of Korea,journal-article,0,3
Establishment of an efficient Agrobacterium-mediated genetic transformation system in halophyte Puccinellia tenuiflora,"Yue Zhang, Chunxiao Qin, Shijia Liu, Yue Xu, Ying Li, Yongxue Zhang, Yingying Song, Meihong Sun, Chunxiang Fu, Zhi Qin, Shaojun Dai",2021,10.1007/s11032-021-01247-8,https://doi.org/10.1007/s11032-021-01247-8,Springer Science and Business Media LLC,journal-article,37,15
Assessment in Habitat Stability of Halophyte by using Mesocosm Experiment,", Sung-Hoon Ryu, In-Cheol Lee, Kyung-Hoi Kim, Han-Sam Yoon",2014,10.7837/kosomes.2014.20.6.619,https://doi.org/10.7837/kosomes.2014.20.6.619,The Korean Society of Marine Environment and Safety,journal-article,14,0
Proteomics analysis of the effects for different salt ions in leaves of true halophyte Sesuvium portulacastrum,"Guohua Ding, Qian Yang, Xueyu Ruan, Tingting Si, Boxuan Yuan, Wenwei Zheng, Quanliang Xie, Ousmane Ahmat Souleymane, Xuchu Wang",2022,10.1016/j.plaphy.2021.12.009,https://doi.org/10.1016/j.plaphy.2021.12.009,Elsevier BV,journal-article,90,22
"Salinivirga fredricksonii gen. nov., sp. nov., a heterotrophic halophile isolated from a photosynthetic mat, a member of a novel lineage (Salinarimonadaceae fam. nov.) within the order Rhizobiales, and reclassification of the genus Salinarimonas Liu et al. 2010 into Salinarimonadaceae","Jessica K. Cole, Beau R. Morton, Hayley C. Cardamone, Hannah R. R. Lake, Alice C. Dohnalkova, Young-Mo Kim, Jennifer E. Kyle, Yukari Maezato, Karl L. Dana, Thomas O. Metz, Margaret F. Romine, William C. Nelson, Stephen R. Lindemann",2018,10.1099/ijsem.0.002715,https://doi.org/10.1099/ijsem.0.002715,Microbiology Society,journal-article,42,23
"Adaptive responses of a threatened halophyte Juncus rigidus Desf. to salinity stress through anatomy, ionic composition and antioxidant modulations","M. M. Abd El-Maboud, Sureshkumar Mesara, D. R. Gangapur, Pradeep K. Agarwal",2023,10.1007/s11738-023-03598-5,https://doi.org/10.1007/s11738-023-03598-5,Springer Science and Business Media LLC,journal-article,79,3
Biodiversity and antimicrobial potential of bacterial endophytes from halophyte Salicornia brachiata,"Sanju Singh, Vishal A. Ghadge, Pankaj Kumar, Doniya Elze Mathew, Asmita Dhimmar, Harshal Sahastrabudhe, Yedukondalu Nalli, Mina R. Rathod, Pramod B. Shinde",2021,10.1007/s10482-021-01544-4,https://doi.org/10.1007/s10482-021-01544-4,Springer Science and Business Media LLC,journal-article,60,18
Transcriptome analysis reveals molecular mechanisms underlying salt tolerance in halophyte Sesuvium portulacastrum,"Dan Wang, Nan Yang, Chaoyue Zhang, Weihong He, Guiping Ye, Jianjun Chen, Xiangying Wei",2022,10.3389/fpls.2022.973419,https://doi.org/10.3389/fpls.2022.973419,Frontiers Media SA,journal-article,80,25
"Intercropping the halophyte Tetragonia decumbens Mill. with salt-sensitive Spinacia oleracea L. mitigated salinity stress by enhancing the physiological, biochemical, and nutritional quality of the salt-sensitive species under saline cultivation","Avela Sogoni, Muhali Olaide Jimoh, Sihle Ngxabi, Marshall Keyster, Learnmore Kambizi, Charles Petrus Laubscher",2025,10.1007/s44447-025-00001-2,https://doi.org/10.1007/s44447-025-00001-2,Springer Science and Business Media LLC,journal-article,70,1
How do <scp>non‐halophyte</scp> locust trees thrive in temperate coastal regions: A study of salinity and multiple environmental factors on water uptake patterns,"Han Li, Zhiqing Lan, Han Chen, Jinhui Jeanne Huang",2024,10.1002/hyp.15122,https://doi.org/10.1002/hyp.15122,Wiley,journal-article,72,2
Exogenous myo-inositol increases salt tolerance and accelerates CAM induction in the early juvenile stage of the facultative halophyte Mesembryanthemum crystallinum but not in the late juvenile stage,"Cheng-Hsun Li, Yun-Cheng Tu, Meng-Fang Wen, Hsing-Jung Tien, Hungchen Emilie Yen",2023,10.1071/fp22285,https://doi.org/10.1071/fp22285,CSIRO Publishing,journal-article,45,6
"Moisture content and oxidative damage determine longevity of the seeds of potential cash crop halophyte
                    <i>Haloxylon stocksii</i>","Sahar Abbas, Aysha Rasheed, Pilar Soriano, Elena Estrelles, Bilquees Gul, Abdul Hameed",2022,10.1080/11263504.2022.2065378,https://doi.org/10.1080/11263504.2022.2065378,Springer Science and Business Media LLC,journal-article,67,1
Correction to: NaCl-induced stress: physiological responses of six halophyte species in in vitro and in vivo culture,"Yuping Xiong, Hanzhi Liang, Haifeng Yan, Beiyi Guo, Meiyun Niu, Shuangyan Chen, Shuguang Jian, Hai Ren, Xinhua Zhang, Yuan Li, Songjun Zeng, Kunlin Wu, Feng Zheng, Jaime A. Teixeira da Silva, Guohua Ma",2019,10.1007/s11240-019-01749-6,https://doi.org/10.1007/s11240-019-01749-6,Springer Science and Business Media LLC,journal-article,0,0
"Phytochemical Screening, <i>In Silico</i> Molecular Docking, ADME Properties, and <i>In Vitro</i> Antioxidant, Anticancer, and Antidiabetic Activity of Marine Halophyte <i>Suaeda maritima</i> (L.) Dumort","Sampath Manojkumar, Murugesan Thandeeswaran, Sathiya Kamatchi Thangavel, Annavi Arjunan, Manickam Muthuselvam, Giriraj Kalaiarasi, Kapildev Gnanajothi",2024,10.1021/acsomega.3c05591,https://doi.org/10.1021/acsomega.3c05591,American Chemical Society (ACS),journal-article,66,16
Synergistic approaches in halophyte-microbe interactions: mitigating soil salinity and industrial contaminants for sustainable agriculture,"Deepak B. Shelke, Mahadev R. Chambhare, Hiralal B. Sonawane, N. F. Islam, Rupshikha Patowary, Milu Rani Das, Yugal Kishore Mohanta, Kaustuvmani Patowary, Sanket J. Joshi, Mahesh Narayan, Bibhu Prasad Panda, Hemen Sarma",2025,10.1007/s11084-025-09688-3,https://doi.org/10.1007/s11084-025-09688-3,Springer Science and Business Media LLC,journal-article,212,2
Proteomic analysis revealed modulations of carbon and nitrogen by arbuscular mycorrhizal fungi associated with the halophyte <i>Suaeda salsa</i> in a moderately saline environment,"Fengwei Diao, Bingbing Jia, Xiuhong Wang, Junqing Luo, Yazhou Hou, Frank Yonghong Li, Wei Guo",2022,10.1002/ldr.4274,https://doi.org/10.1002/ldr.4274,Wiley,journal-article,43,18
"Diversity, community distribution and growth promotion activities of endophytes associated with halophyte Lycium ruthenicum Murr","Yong-Hong Liu, Yong-Yang Wei, Osama Abdalla Abdelshafy Mohamad, Nimaichand Salam, Yong-guang Zhang, Jian-Wei Guo, Li Li, Dilfuza Egamberdieva, Wen-Jun Li",2019,10.1007/s13205-019-1678-8,https://doi.org/10.1007/s13205-019-1678-8,Springer Science and Business Media LLC,journal-article,50,26
"Genome-wide analyses of calmodulin and calmodulin-like proteins in the halophyte Nitraria sibirica reveal their involvement in response to salinity, drought and cold stress","Xinru Wu, Junjie Zhu, Liming Zhu, Yao Tang, Zhaodong Hao, Jingbo Zhang, Jisen Shi, Tielong Cheng, Lu Lu",2023,10.1016/j.ijbiomac.2023.127442,https://doi.org/10.1016/j.ijbiomac.2023.127442,Elsevier BV,journal-article,85,13
Overexpression of AlTMP2 gene from the halophyte grass Aeluropus littoralis in transgenic tobacco enhances tolerance to different abiotic stresses by improving membrane stability and deregulating some stress-related genes,"Walid Ben-Romdhane, Rania Ben-Saad, Donaldo Meynard, Nabil Zouari, Ali Mahjoub, Lotfi Fki, Emmanuel Guiderdoni, Abdullah Al-Doss, Afif Hassairi",2018,10.1007/s00709-018-1223-3,https://doi.org/10.1007/s00709-018-1223-3,Springer Science and Business Media LLC,journal-article,68,31
Heterologous expression of the halophyte Zoysia matrella H+-pyrophosphatase gene improved salt tolerance in Arabidopsis thaliana,"Yu Chen, Lanlan Li, Junqin Zong, Jingbo Chen, Hailin Guo, Aigui Guo, Jianxiu Liu",2015,10.1016/j.plaphy.2015.04.004,https://doi.org/10.1016/j.plaphy.2015.04.004,Elsevier BV,journal-article,43,43
Combined genome and transcriptome provides insight into the genetic evolution of an edible halophyte <i>Suaeda salsa</i> adaptation to high salinity,"Bing Cui, Ranran Liu, Qiong Yu, Jianrong Guo, Xihua Du, Zixin Chen, Chenyang Li, Tong Wang, Ru Liu, Rui He, Congcong Song, Yue Liu, Na Sui, Guifang Jia, Jie Song",2024,10.1111/mec.17457,https://doi.org/10.1111/mec.17457,Wiley,journal-article,93,7
NaCl-induced stress: physiological responses of six halophyte species in in vitro and in vivo culture,"Yuping Xiong, Hanzhi Liang, Haifeng Yan, Beiyi Guo, Meiyun Niu, Shuangyan Chen, Shuguang Jian, Hai Ren, Xinhua Zhang, Yuan Li, Songjun Zeng, Kunlin Wu, Feng Zheng, Jaime A. Teixeira da Silva, Guohua Ma",2019,10.1007/s11240-019-01697-1,https://doi.org/10.1007/s11240-019-01697-1,Springer Science and Business Media LLC,journal-article,51,17
Molecular analysis of a novel alkaline metal salt (NaCl)-responsive WRKY transcription factor gene IlWRKY1 from the halophyte Iris lactea var. chinensis,"Jun Tang, Qingquan Liu, Haiyan Yuan, Yongxia Zhang, Suzhen Huang",2018,10.1016/j.ibiod.2017.11.021,https://doi.org/10.1016/j.ibiod.2017.11.021,Elsevier BV,journal-article,59,16
From Wild Halophyte to Future Crop: Genomic Insights into Salicornia,"Yunchuan Wang*, Laxman Adhikari*, Lina María Cáceres Leal, Nataliya Kovalchuk, Jana Čížková, Denisa Beránková, Noha Saber, Gabriele Fiene, Turki AA Al-Turki, Luis Rivera, Francisco Molina-Freaner, Corina Hayano-Kanashiro, Dongryung Lee, Angelina Jordine, Joost T. van Dongen, Davide De Battisti, Huirong Duan, Xiaofei Zeng, Salim Bougouffa, Xin Gao, Yveline Pailles, Jesse Poland, Eva Hřibová, Mark Tester, Vanessa J. Melino",2025,10.21203/rs.3.rs-7061928/v1,https://doi.org/10.21203/rs.3.rs-7061928/v1,Springer Science and Business Media LLC,posted-content,0,0
Physiological and antioxidant responses of the sabkha biotope halophyte Limonium delicatulum to seasonal changes in environmental conditions,"Aymen Souid, Lorenza Bellani, Christian Magné, Walid Zorrig, Abderrazak Smaoui, Chedly Abdelly, Vincenzo Longo, Karim Ben Hamed",2018,10.1016/j.plaphy.2017.12.008,https://doi.org/10.1016/j.plaphy.2017.12.008,Elsevier BV,journal-article,62,35
Effects of a Nitrogen‐Fixing Indigenous Bacterium (<i>Klebsiella pneumoniae</i>) on the Growth and Development of the Halophyte <i>Salicornia bigelovii</i> as a New Crop for Saline Environments,"E. Rueda‐Puente, T. Castellanos, E. Troyo‐Diéguez, J. L. Díaz de León‐Alvarez, B. Murillo‐Amador",2003,10.1046/j.1439-037x.2003.00051.x,https://doi.org/10.1046/j.1439-037x.2003.00051.x,Wiley,journal-article,61,34
MMP‐Inhibitory Effects of Flavonoid Glycosides from Edible Medicinal Halophyte <i>Limonium tetragonum</i>,"Min Joo Bae, Fatih Karadeniz, Jung Hwan Oh, Ga Hyun Yu, Mi-Soon Jang, Ki-Ho Nam, Youngwan Seo, Chang-Suk Kong",2017,10.1155/2017/6750274,https://doi.org/10.1155/2017/6750274,Wiley,journal-article,24,15
"Corrigendum: Saliniramus fredricksonii gen. nov., sp. nov., a heterotrophic halophile isolated from Hot Lake, Washington, a member of a novel lineage (Salinarimonadaceae fam. nov.) within the order Rhizobiales, and reclassification of the genus Salinarimonas Liu et al. 2010 into Salinarimonadaceae","Jessica K. Cole, Beau R. Morton, Hayley C. Cardamone, Hannah R. R. Lake, Alice C. Dohnalkova, Young-Mo Kim, Jennifer E. Kyle, Yukari Maezato, Karl L. Dana, Thomas O. Metz, Margaret F. Romine, William C. Nelson, Stephen R. Lindemann",2018,10.1099/ijsem.0.002807,https://doi.org/10.1099/ijsem.0.002807,Microbiology Society,journal-article,42,12
Greener Is Better: First Approach for the Use of Natural Deep Eutectic Solvents (NADES) to Extract Antioxidants from the Medicinal Halophyte Polygonum maritimum L.,"Iva Rukavina, Maria João Rodrigues, Catarina G. Pereira, Inês Mansinhos, Anabela Romano, Sylwester Ślusarczyk, Adam Matkowski, Luísa Custódio",2021,10.3390/molecules26206136,https://doi.org/10.3390/molecules26206136,MDPI AG,journal-article,58,27
Physiological and proteomic analyses of salt stress response in the halophyte <scp><i>H</i></scp><i>alogeton glomeratus</i>,"JUNCHENG WANG, YAXIONG MENG, BAOCHUN LI, XIAOLE MA, YONG LAI, ERJING SI, KE YANG, XIANLIANG XU, XUNWU SHANG, HUAJUN WANG, DI WANG",2014,10.1111/pce.12428,https://doi.org/10.1111/pce.12428,Wiley,journal-article,76,104
Identification and evolutionary characterization of salt-responsive transcription factors in the succulent halophyte Suaeda fruticosa,"Joann Diray-Arce, Alisa Knowles, Anton Suvorov, Jacob O’Brien, Collin Hansen, Seth M. Bybee, Bilquees Gul, M. Ajmal Khan, Brent L. Nielsen",2019,10.1371/journal.pone.0222940,https://doi.org/10.1371/journal.pone.0222940,Public Library of Science (PLoS),journal-article,56,13
A hyperaccumulation pathway to hierarchically porous carbon nanosheets from halophyte biomass for wastewater remediation,"Ashesh Mahto, Ankit Singh, Kanakaraj Aruchamy, Ashok Maraddi, Gopala Ram Bhadu, Nataraj Sanna Kotrappanavar, Ramavatar Meena",2021,10.1016/j.susmat.2021.e00292,https://doi.org/10.1016/j.susmat.2021.e00292,Elsevier BV,journal-article,40,2
Comparative transcriptome analysis of genes involved in Na+ transport in the leaves of halophyte Halogeton glomeratus,"Juncheng Wang, Baochun Li, Lirong Yao, Yaxiong Meng, Xiaole Ma, Yong Lai, Erjing Si, Panrong Ren, Ke Yang, Xunwu Shang, Huajun Wang",2018,10.1016/j.gene.2018.08.025,https://doi.org/10.1016/j.gene.2018.08.025,Elsevier BV,journal-article,39,5
"Cloning and characterization of SucNHX1, a novel vacular Na+/H+ antiporter from the halophyte Suaeda corniculata that enhances the saline-alkali tolerance in Arabidopsis by its overexpression","Xiaowei Li, Fawei Wang, Daqian Sun, Nan Wang, Yuanyuan Dong, Weican Liu, Xiuming Liu, Na Yao, Huan Chen, Menghan Chi, Shuhan Ji, Shijin Wang, Haiyan Li",2018,10.1007/s11240-018-1430-9,https://doi.org/10.1007/s11240-018-1430-9,Springer Science and Business Media LLC,journal-article,52,7
Protective properties of the edible halophyte Carpobrotus edulis (L.) N.E.Br. towards neoformed food contaminants-related oxidative stress and genotoxicity,"Daniela Oliveira, Ruzanna Hayrapetyan, Maria Inês Dias, Lillian Barros, Isabelle Séverin, Luísa Custódio, Marie-Christine Chagnon, Rui Oliveira",2024,10.1016/j.fbio.2024.104447,https://doi.org/10.1016/j.fbio.2024.104447,Elsevier BV,journal-article,63,2
"Figure 1 from: Palchetti MV, Cantero JJ, Morales-Fierro V, Barboza GE, Moreira-Muñoz A (2021) Living in extreme environments: distribution of Lycium humile (Solanaceae), an endemic halophyte from the Altiplano-Puna region, South America. PhytoKeys 185: 1-15. https://doi.org/10.3897/phytokeys.185.71377","María Virginia Palchetti, Juan José Cantero, Vanezza Morales-Fierro, Gloria E. Barboza, Andrés Moreira-Muñoz",2021,10.3897/phytokeys.185.71377.figure1,https://doi.org/10.3897/phytokeys.185.71377.figure1,Pensoft Publishers,component,0,0
FUNDAMENTAL INVESTIGATION OF HALOPHYTE HABITAT IN YATSUSHIRO BAY,"Kentaro MORIMOTO, Natsumi HASHIMOTO, Tatsuya MASUDA, Kiyoshi TAKIKAWA",2012,10.2208/jscejoe.68.i_1244,https://doi.org/10.2208/jscejoe.68.i_1244,Japan Society of Civil Engineers,journal-article,7,0
PtAKT1 maintains selective absorption capacity for K+ over Na+ in halophyte Puccinellia tenuiflora under salt stress,"Pei Wang, Qiang Guo, Qian Wang, Xiang-Rui Zhou, Suo-Min Wang",2015,10.1007/s11738-015-1846-3,https://doi.org/10.1007/s11738-015-1846-3,Springer Science and Business Media LLC,journal-article,51,14
"A draft genome assembly of halophyte <i>Suaeda aralocaspica</i>, a plant that performs C4 photosynthesis within individual cells","Lei Wang, Ganglong Ma, Hongling Wang, Chao Cheng, Shuyong Mu, Weili Quan, Li Jiang, Zhenyong Zhao, Yu Zhang, Ke Zhang, Xuelian Wang, Changyan Tian, Yi Zhang",2019,10.1093/gigascience/giz116,https://doi.org/10.1093/gigascience/giz116,Oxford University Press (OUP),journal-article,73,34
Conservation of a Critically Endangered Endemic Halophyte of West Portugal: A Microcosm Assay to Assess the Potential of Soil Technology for Species Reintroduction,"Ana Cortinhas, Teresa Cardoso Ferreira, Maria Manuela Abreu, Ana D. Caperta",2021,10.3389/fevo.2021.604509,https://doi.org/10.3389/fevo.2021.604509,Frontiers Media SA,journal-article,76,9
"Coastal halophyte plant
                    <i>Atriplex maximowicziana</i>
                    with previously undescribed terpenoids and anti-colorectal cancer chlorophyll stereoisomers utilizing a molecular networking approach","Andrea Gu, Po-Jen Chen, Yih-Fung Chen, Ho-Cheng Wu, Tzong-Huei Lee",2025,10.1039/d5ra06325f,https://doi.org/10.1039/d5ra06325f,Royal Society of Chemistry (RSC),journal-article,55,0
Phytohormone profiling in relation to osmotic adjustment in NaCl-treated plants of the halophyte tomato wild relative species Solanum chilense comparatively to the cultivated glycophyte Solanum lycopersicum,"Emna Gharbi, Juan-Pablo Martínez, Hela Benahmed, Imène Hichri, Petre I. Dobrev, Václav Motyka, Muriel Quinet, Stanley Lutts",2017,10.1016/j.plantsci.2017.02.006,https://doi.org/10.1016/j.plantsci.2017.02.006,Elsevier BV,journal-article,65,51
Cloning of PEPC-1 from a C4 halophyte Suaeda aralocaspica without Kranz anatomy and its recombinant enzymatic activity in responses to abiotic stresses,"Gang Cheng, Lu Wang, Haiyan Lan",2016,10.1016/j.enzmictec.2015.11.006,https://doi.org/10.1016/j.enzmictec.2015.11.006,Elsevier BV,journal-article,50,32
